,0,1,2,3,4,5,6,7
11,Land for Sale in Veyangoda Town,22 Jul  1:51 pm,"Veyangoda, Gampaha","130,000",වේයන්ගොඩ නගරයට 2kmප්‍රයිම් ලෑන්ඩ් වෙන්දේසි ඉඩමේ Block No 78ජල විදුලි පහසුකම් වැඩි විස්තර සඳහා අමතන්න,"Banduragoda Rd, Veyangoda","Agricultural, Commercial, Residential, Other",10.5 perches
12,Valuable Land for Sale Veyangoda,23 Jul  8:49 am,"Veyangoda, Gampaha","4,500,000",74.6 perch flat land of coconut estate for sale at minuwangoda16KM away from Katunayake airport Naiwala 4.5KMVeyangoda 6 km,Veyangoda,"Agricultural, Residential, Other",74.0 perches
13,Land for Sale in Veyangoda,14 Jul  2:15 pm,"Veyangoda, Gampaha","4,900,000",*Land. For sale in veyangoda. *  20 perches  land. Per perches 4900000 * *price Negotiable * 300m metres veyangoda town * this land suitable for business purposes or recdental  * * *you can  buy part of the land (10perches) * please apiment   Per day  no brokers,veyangoda  town.,"Residential, Other",20.0 perches
14,Land For Sale In Keenawala,14 Jul  1:39 pm,"Veyangoda, Gampaha","185,000",යෝජිත මධ්‍යම අධිවේගී මාර්ග පිවිසුමට ඉතා ආසන්නව කීනවල දුම්රිය ස්තානයත් පල්ලෙවෙල දුම්රිය ස්තානයටත් මැදිව එම දුම්රිය ස්තාන දෙකටම කිලෝමීටර් 1ක පමන දුරින් ප්‍රධාන මාර්ගයට මුහුනලා පිහිටා ඇත(පර්චස් 40ට නොඅඩු කොටස් වශයෙන් හෝ සම්පූර්ණයෙන් වශයෙන් හෝ ඉතා ඉක්මනින් විකිනේ),"Kandalanda,Pallewela",Other,120.0 perches
15,කොළඹට නූදුරින් නිස්කලන්ක පරිසරයක් වේයන්ගොඩ,13 Jul  3:08 pm,"Veyangoda, Gampaha","155,000",නිට්ටබුව සහා වේයන්ගොඩ නගරයට වි:10. ව්යාපාරයට හො පදිංචිට සුදුසු නිස්කලංක පරිසරය.දුම්රිය පොලට වි: 10. අධිවේගි මාර්ගයට සමීප. පඵුල් මාර්ග නිරවුල් ඔප්පු සහිතව ඉඩමක් විකිණීමට.,"Commercial, Residential, Other",13.4 perches,
16,"Commercial Land for Sale in Veyangoda Town, facing Airport road",23 Jul 10:06 am,"Veyangoda, Gampaha","1,500,000","54.2  Perches Commercial Land for Sale in Veyangoda. face to Katunayaka  –  Nittambuwa Airport road. Very close to Veyangoda Railway Station. Easy access to Katunayake International Airport and easy access to Kadawatha – Kurunegala via Airport Highway. Close proximity to Leading banks, Commercial outlets, Super markets, Star Hotels, Fuel Station Government & International Schools, etc.",Katunayake Airport road,"Commercial, Residential, Other",54.2 perches
17,Land for sale in Veyangoda,12 Jul  1:11 pm,"Veyangoda, Gampaha","2,450,000","Land sale in training college road moratuwatta.Electricity and water facilities,veyangoda town 2km.colombo kandy road 1.5km,8 coconut trees.",veyangoda moratuwatta road,Commercial,23.0 perches
18,Land in Veyangoda, 8 Jul  1:19 pm,"Veyangoda, Gampaha","115,000",LAND DETAILS,Baduragoda road Veyangoda,"Commercial, Residential",10.0 perches
19,Valuable Land for Sale in Veyangoda,23 Jul 10:06 am,"Veyangoda, Gampaha","73,000","49 Perches Land for Sale in Udugama, Veyangoda. This is a rectangular shape flat solid land with very clear title. Only 1.5 km to Veyangoda Town and 2 km to Naiwala. Easy access to Minuwangoda, Gampaha and Nittambuwa cities. Calm and quite area with decent neighborhood.Electricity, Water, Telephone and other basic facilities are available.",Udugama,"Agricultural, Residential, Other",49.0 perches
20,Land for Sale in Veyangoda | Heendeniya, 6 Jul  6:48 pm,"Veyangoda, Gampaha","135,000",Land for sale in Veyangoda | Heendeniya,Veyangoda | Heendeniya,"Commercial, Residential",13.5 perches
