,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Piliyandala,20 Jul  2:44 pm,"Piliyandala, Colombo","4,600,000",~~~ ආයෝජනයටත් පදිංචියටත් ~~~,"Gonamadiththa , Piliyandala",Residential,6.0 perches
2,"['Land for Sale in Piliyandala', '20 Jul  2:44 pm', 'Piliyandala, Colombo', '4,600,000', '~~~ ආයෝජනයටත් පදිංචියටත් ~~~', 'Gonamadiththa , Piliyandala', 'Residential', '6.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale - Piliyandala,13 Jul  5:16 pm,"Piliyandala, Colombo","1,350,000","300m to piliyandala town 4 perch land plots Electricity , water facilities available","Commercial, Residential",12.0 perches,
4,Land for Sale - Piliyandala,13 Jul  5:16 pm,"Piliyandala, Colombo","1,350,000","300m to piliyandala town 4 perch land plots Electricity , water facilities available","Commercial, Residential",12.0 perches,
5,සුපිරි නේවාසික බිම් කොටස් - පිළියන්දලින්,22 Jul 11:48 am,"Piliyandala, Colombo","4,500,000",~~~ ආයෝජනයටත් පදිංචියටත් ~~~,පිළියන්දල ගෝනමඩිත්ත පාර,Residential,6.2 perches
6,Land For Sale In Piliyandala 255 Bus Route,21 Jul  9:40 pm,"Piliyandala, Colombo","390,000","10 Perches for Sale in Piliyandala 255 Bus Route,sri Wijayanandarama Mawatha350M to main bus route (255 bus route)Clear Deeds.....                                                          Stile Under Bank of Ceylon(B.O.C) Lone Facility.................More Information Pls Call.............. Pls Call Genuine Customer.......","Sri Wijayanandarama mawatha , Honnanthara , Piliyandal",Residential,10.0 perches
7,Land for Sale in Piliyandala,22 Jul 10:24 am,"Piliyandala, Colombo","1,200,000",CT GARDENS PILIYANDALACONTACT FOR MORE DETAILS,Residential,8.0 perches,
8,Land for Sale in Piliyandala Lot 15,22 Jul 11:50 am,"Piliyandala, Colombo","675,000","පිළියන්දලින් හොදම ඉඩම් අඩුම මිලට ජනප්‍රිය පාසල්, විශ්ව විද්‍යාලරෝහල්සාප්පු සංකීර්ණ120 බස් පාරට විනාඩි 05ක දුරින්සුපිරි නේවාසික බිම් කොටස් පහසු ගෙවිමේ ක්‍රමපිළියන්දල නගර සීමාවට ආසන්නව පදිංචියටත් ආයෝජනයටත් සුදුසු බිම් කොටස්එකවර ගෙවිමේදී මුලින් වෙන්කරවා ගන්නා 03 සදහා පර්චසයකට රැ 100,000/= ලක්ෂයට වැඩි දීමනාවක්රැ. 750,000/= පර්චසයක් දැන් ඔබට රැ.650,000/= ලබා ගැනිමට අවස්ථවක්මෙයට අමතරව තවත් සුවිශේෂි දීමනා රැසක් අපෙන්",Piliyandala,Residential,6.3 perches
9,VIP Residence land - Piliyandala,22 Jul 11:52 am,"Piliyandala, Colombo","665,000","පිළියන්දලින් හොදම ඉඩම් අඩුම මිලට ජනප්‍රිය පාසල්, විශ්ව විද්‍යාලරෝහල්සාප්පු සංකීර්ණ120 බස් පාරට විනාඩි 05ක දුරින්සුපිරි නේවාසික බිම් කොටස් පහසු ගෙවිමේ ක්‍රමපිළියන්දල නගර සීමාවට ආසන්නව පදිංචියටත් ආයෝජනයටත් සුදුසු බිම් කොටස්එකවර ගෙවිමේදී මුලින් වෙන්කරවා ගන්නා 03 සදහා පර්චසයකට රැ 100,000/= ලක්ෂයට වැඩි දීමනාවක්රැ. 740,000/= පර්චසයක් දැන් ඔබට රැ.640,000/= ලබා ගැනිමට අවස්ථවක්ඉඩමේ වටිනාකම 75% ගෙවීමෙන් පසු ඔබගේ නිවස ඉදිකරිම අප විසින් සිදු කරනු ලබේඔබගේ සිතැගි පරිදි නිවාස ඉදිකරගැනීමට කදීම අවස්ථාවක්මෙයට අමතරව තවත් සුවිශේෂි දීමනා රැසක් අපෙන්",Piliyandala,"Residential, Other",7.5 perches
10,Luxury Space For Sale - Piliyandala,22 Jul 11:52 am,"Piliyandala, Colombo","650,000","Monthly installment Rs 1550 on Rs 100,000 for 10 years ( bank lone) zero down payment scheme can be arrangedPrime land just 1.8 km to PiliyandalaLand for sale close proximity to Piliyandala town, peaceful residential area, calm & quiet neighborhood. Clear DeedHighly developing residential area.5 mint to Piliyandala5 mint to katubadda/ MoratuwaEasy access to Southern Express Way, Airport Express Way via Kahathuduwa& Galanigama Interchange.",Gonamaditha R d,Residential,7.0 perches
11,Valuable Land for Sale Minuwangoda,22 Jul 11:54 am,"Piliyandala, Colombo","4,500,000",74.6 perch flat land of coconut estate for sale at minuwangoda16KM away from Katunayake airport Naiwala 4.5KMVeyangoda 6 km,Dewalapola,"Agricultural, Residential, Other",74.6 perches
12,Land for Sale in Piliyandala Lot 21,22 Jul 11:57 am,"Piliyandala, Colombo","615,000","සියලු පහසුකම් හා අනුමැතීන් සහිතව,නල ජලය, විදුලිය සහිතවකොළඹට ආසන්නව පදිංචිවන්න ඔබටත් අවස්ථාවක්එකවර මුදල් ගෙවීමේදී සුවිශේෂී වට්ටම්ඔබට හිමි සුවිශේෂි දීමනා වෙන් කරවා ගැනීම සදහා අමතන්න",Gonamaditha Rd,Residential,7.5 perches
13,VIP Residence Land - Piliyandala,22 Jul  7:07 am,"Piliyandala, Colombo","660,000",සියලු නාගරික පහසුකම් නළ ජලය තෙකලා විදුලිය බැංකු ණය පහසුකම් පුළුල් පිවිසුම් මාර්ග පිරිසිදු ඔප්පු පදිංචියට වඩාත් සුදුසු පරිසරය,Piliyandala,"Residential, Other",7.0 perches
14,Valuable Land for Sale Veyangoda,22 Jul 10:55 am,"Piliyandala, Colombo","4,500,000",74.6 perch flat land of coconut estate for sale at minuwangoda16KM away from Katunayake airport Naiwala 4.5KMVeyangoda 6 km,Dewalapola,"Agricultural, Residential, Other",74.6 perches
15,"Land for Sale in Piliyandala , Kahathuduwa",15 Jun  9:48 am,"Piliyandala, Colombo","290,000","කොළඹ දිස්ත්‍රික්කයෙන්ම පදිංචි වී ඒම සියලු පහසුකම් අත් විදින්න* සුන්දර වෙල්යායකට මායිව* 120 පිටකොටුව පිලියන්දල හොරණ පාරට අැවිදන් යන්න* පිලියන්දලට විනාඩි 10යි (කි.මී. 07 යි)* කොළඹට විනාඩි 60යි (කි.මී. 17යි)* කහතුඩුව නගරයට විනාඩි 05යි* කහතුඩුව අධිවේගී පිවිසුමට විනාඩි 05යි* කොට්ටාව නගරයට විනාඩි 10යි* නල ජලය* අඩි 20 පුළුල් මාර්ග* විදුලිය* බැංකු ණය පහසුකම්* මසකට රු. 17,000/=* පර්චස් 6, 7, 8, 10 බිම් කොටස් * ග්‍රීන් ලෑන්ඩ්","Kahathuduwa, Piliyandala","Commercial, Residential, Other",7.0 perches
16,Land for sale in Piliyandala,21 Jul  1:59 pm,"Piliyandala, Colombo","780,000","Once in a lifetime opportunity to purchase a prime block of land close to piliyandala town. Situated in Church Road suwarapola, 300 meters to 255 bus route with multiple access to 120 main bus route. Inherited land with over 100 years of family history. Located adjoining a paddy field with lush green surroundings yet conveniently located to schools, super markets, university, temple , church etc. Very popular area for accommodating university students. Simply a paradise for investor with limitless potential. Can be easily subdivided for multiple blocks or use as a commercial property with ample parking. Ideal place for a reception hall or even a supermarket. 20 feet wide road. Property has two houses currently been rented with decent rental income and well secured with  brick fences all around. Brokers welcome with maximum of 3% commission. Please call Mrs Nanda Rajapaksha for inspections or inquiries.","Commercial, Residential",80.0 perches,
17,Land for Sale Piliyandala,21 Jul 10:40 am,"Piliyandala, Colombo","600,000",300 miters 255 kottawa rd20 ft rdපර්චස් එකක මිල ලක්ෂ 6 මුලු ඉඩමපමණයි,piliyandala kottawa rd,Residential,15.6 perches
18,VIP Residence land - Piliyandala,20 Jul  2:35 pm,"Piliyandala, Colombo","675,000",සියලු නාගරික පහසුකම් නළ ජලය තෙකලා විදුලිය බැංකු ණය පහසුකම් පුළුල් පිවිසුම් මාර්ග පිරිසිදු ඔප්පු පදිංචියට වඩාත් සුදුසු පරිසරය,Residential,7.0 perches,
19,Land for Sale in Piliyandala,20 Jul 10:03 am,"Piliyandala, Colombo","600,000",Land for sale in Piliyandala,Piliyandala,"Commercial, Residential",10.0 perches
20,Luxury Living Land Space - Piliyandala (Lot No 02),20 Jul  9:41 am,"Piliyandala, Colombo","690,000","පිළියන්දල නගර සීමාවට ආසන්නව පදිංචියටත් ආයෝජනයටත් සුදුසු බිම් කොටස්එකවර ගෙවිමේදී මුලින් වෙන්කරවා ගන්නා 03 සදහා පර්චසයකට රැ 100,000/= ලක්ෂයට වැඩි දීමනාවක්රැ. 750,000/= පර්චසයක් දැන් ඔබට රැ.650,000/= ලබා ගැනිමට අවස්ථවක්මෙයට අමතරව තවත් සුවිශේෂි දීමනා රැසක් අපෙන්සියලු පහසුකම් හා අනුමැතීන් සහිතව,නල ජලය, විදුලිය සහිතව- ගාලු - කොළඹ ප්‍රධාන මාර්ගය- කහතුඩුව, ගැලනිගම අධිවේගී පිවිසුම්- මොරටුව විශ්වවිද්‍යාලය- NAITA / German Technical Training center- රාජ්‍යය හා පෞද්ගලික පාසල්,බැංකු/ සාප්පු සංකීර්ණ, සුපිරි වෙළඳසැල් අතේ දුරින්",Piliyandala,Residential,8.0 perches
21,Luxury Living Space Land - Piliyandala,20 Jul  8:01 am,"Piliyandala, Colombo","615,000","පොළි නැතිව ටික ටික ගෙවන්න ඉඩමක් ගන්න හොදම තැන මෙන්නසියලු පහසුකම් හා අනුමැතීන් සහිතව,නල ජලය, විදුලිය සහිතවකොළඹට ආසන්නව පදිංචිවන්න ඔබටත් අවස්ථාවක්එකවර මුදල් ගෙවීමේදී සුවිශේෂී වට්ටම්ඔබට හිමි සුවිශේෂි දීමනා වෙන් කරවා ගැනීම සදහා අමතන්න",Piliyandala,Residential,7.15 perches
22,Luxury Living Space Land - Piliyandala,20 Jul  7:54 am,"Piliyandala, Colombo","680,000","Monthly installment Rs 1550 on Rs 100,000 for 10 years ( bank lone) zero down payment scheme can be arrangedPrime land just 1.8 km to PiliyandalaLand for sale close proximity to Piliyandala town, peaceful residential area, calm & quiet neighborhood. Clear DeedHighly developing residential area.5 mint to Piliyandala5 mint to katubadda/ MoratuwaEasy access to Southern Express Way, Airport Express Way via Kahathuduwa& Galanigama Interchange.",Piliyandala,Residential,7.5 perches
23,Luxury Living Land Space - Piliyandala,20 Jul  7:52 am,"Piliyandala, Colombo","675,000","පිළියන්දලින් හොදම ඉඩම් අඩුම මිලට ජනප්‍රිය පාසල්, විශ්ව විද්‍යාලරෝහල්සාප්පු සංකීර්ණ120 බස් පාරට විනාඩි 05ක දුරින්සුපිරි නේවාසික බිම් කොටස් පහසු ගෙවිමේ ක්‍රමපිළියන්දල නගර සීමාවට ආසන්නව පදිංචියටත් ආයෝජනයටත් සුදුසු බිම් කොටස්එකවර ගෙවිමේදී මුලින් වෙන්කරවා ගන්නා 03 සදහා පර්චසයකට රැ 100,000/= ලක්ෂයට වැඩි දීමනාවක්රැ. 740,000/= පර්චසයක් දැන් ඔබට රැ.640,000/= ලබා ගැනිමට අවස්ථවක්ඉඩමේ වටිනාකම 75% ගෙවීමෙන් පසු ඔබගේ නිවස ඉදිකරිම අප විසින් සිදු කරනු ලබේඔබගේ සිතැගි පරිදි නිවාස ඉදිකරගැනීමට කදීම අවස්ථාවක්මෙයට අමතරව තවත් සුවිශේෂි දීමනා රැසක් අපෙන්",Piliyandala,"Residential, Other",6.5 perches
24,"Land For Sale - Gonamadiththa Road, Piliyandala",20 Jul 11:22 am,"Piliyandala, Colombo","4,450,000","සියලු නාගරික පහසුකම් නළ ජලය තෙකලා විදුලිය බැංකු ණය පහසුකම් පුළුල් පිවිසුම් මාර්ග පිරිසිදු ඔප්පු පදිංචියට වඩාත් සුදුසු පරිසරය ඉඩමේ වටිනාකමින් 50% ක් ගෙවා ඉතිරිය පොළි නැතිව මාසික වාරික ක්‍රමයට ගෙවිය හැක.31 පෙර ඔබගේ බිම් කොටස වෙන්කරවාගෙන මුදලින් රැපියල් 2,5000.00 ක (පර්චසයක් සදහා) සුවිශේෂි දීමනාව ලබා ගැනීම සදහා අමතන්න",Piliyandala,"Residential, Other",6.3 perches
25,Land for Sale - Piliyandala,20 Jul  7:32 am,"Piliyandala, Colombo","690,000","පිළියන්දලින් හොදම ඉඩම් අඩුම මිලට ජනප්‍රිය පාසල්, විශ්ව විද්‍යාලරෝහල්සාප්පු සංකීර්ණ120 බස් පාරට විනාඩි 05ක දුරින්සුපිරි නේවාසික බිම් කොටස් පහසු ගෙවිමේ ක්‍රමපිළියන්දල නගර සීමාවට ආසන්නව පදිංචියටත් ආයෝජනයටත් සුදුසු බිම් කොටස්එකවර ගෙවිමේදී මුලින් වෙන්කරවා ගන්නා 03 සදහා පර්චසයකට රැ 100,000/= ලක්ෂයට වැඩි දීමනාවක්රැ. 750,000/= පර්චසයක් දැන් ඔබට රැ.650,000/= ලබා ගැනිමට අවස්ථවක්මෙයට අමතරව තවත් සුවිශේෂි දීමනා රැසක් අපෙන්",Piliyandala,"Residential, Other",7.5 perches
26,Land for Sale in Piliyandala,19 Jul  9:16 am,"Piliyandala, Colombo","600,000","සුවාරපල,හැඩිගම පර්චස් 12ක ඉඩම විකිනීමට.පිළියන්දල නගරයට 1.5 km හරිහතරස් ඉඩමකි ජල විදුලි පහසුකම් සහිතව","Hedigama,Piliyandala",Residential,12.0 perches
27,Residence Land for Sales in - Kesbewa,20 Jul 12:53 pm,"Piliyandala, Colombo","890,000","පිළියන්දල, කැස්බැව නගරයට ආසන්නයෙන්, කැස්බැව බන්ඩාරගම පාරේ Liberty Park අසල,  නේවාසික පරිසරයක  පිහිටි පර්චස් 10ක ඉඩමක් විකිනිමටඇත. පාසල, බැංකු  හා අනෙකුත් පහසුකම් (Food City/Fuel Station) ඉතා ලගින්,   පිරිසිදු ඔප්පු.","Opposite to Liberty Park, Bandaragama Road -Kesbewa",Residential,10.0 perches
28,Land for Sale - Piliyandala,18 Jul 11:08 am,"Piliyandala, Colombo","275,000",Property details,Residential,20.0 perches,
29,Land for Sale in Madapatha - Piliyandala,12 Jul  6:31 pm,"Piliyandala, Colombo","4,800,000",10M to Madapatha Piliyandala Main Road.The 8Ft wall surrounding the land.Very good neighborhood.,Residential,12.0 perches,
30,Land for sale in Piliyandala,21 Jul  1:59 pm,"Piliyandala, Colombo","780,000","Once in a lifetime opportunity to purchase a prime block of land close to piliyandala town. Situated in Church Road suwarapola, 300 meters to 255 bus route with multiple access to 120 main bus route. Inherited land with over 100 years of family history. Located adjoining a paddy field with lush green surroundings yet conveniently located to schools, super markets, university, temple , church etc. Very popular area for accommodating university students. Simply a paradise for investor with limitless potential. Can be easily subdivided for multiple blocks or use as a commercial property with ample parking. Ideal place for a reception hall or even a supermarket. 20 feet wide road. Property has two houses currently been rented with decent rental income and well secured with  brick fences all around. Brokers welcome with maximum of 3% commission. Please call Mrs Nanda Rajapaksha for inspections or inquiries.","Commercial, Residential",80.0 perches,
31,Land for Sale in Bokundara,17 Jul 10:28 pm,"Piliyandala, Colombo","995,000","බෝකුන්දර මහරගම බස් පාරට මුහුනලා පිහිටි ඉඩමක බිම් කොටස් කිහිපයක් ඉක්මනින් විකිනීමට. බැංකු ණය සහ කෙටි කාලීන පහසු ගෙවීමේ ක්‍රම සහිතයි.මහරගම පිලියන්දල බස් පාරට (ඇරැව්වල හන්දියට) මීටර් 200.බෝකුන්දර හන්දියට කි.මී 1.5මහරගම නගරයට කි.මී 1.6පන්නිපිටිය, කොට්ටාව, කැස්බෑව, බොරලැස්ගමුව නගරවලටත් කඩිනමින් පිවිසීමේ හැකියාව.","Bokundara, Piliyandala","Commercial, Residential",8.6 perches
32,Land for Sale in Bokundara,17 Jul  5:20 pm,"Piliyandala, Colombo","850,000",Land for sale in Bokundara. 800 m to 120 main bus route.,Residential,8.0 perches,
33,Valuable Land for Sale - Piliyandala,20 Jul 11:14 am,"Piliyandala, Colombo","4,800,000","පිළියන්දලින් හොදම ඉඩම් අඩුම මිලට ජනප්‍රිය පාසල්, විශ්ව විද්‍යාලරෝහල්සාප්පු සංකීර්ණ120 බස් පාරට විනාඩි 05ක දුරින්සුපිරි නේවාසික බිම් කොටස් පහසු ගෙවිමේ ක්‍රමපිළියන්දල නගර සීමාවට ආසන්නව පදිංචියටත් ආයෝජනයටත් සුදුසු බිම් කොටස්එකවර ගෙවිමේදී මුලින් වෙන්කරවා ගන්නා 03 සදහා පර්චසයකට රැ 100,000/= ලක්ෂයට වැඩි දීමනාවක්රැ. 740,000/= පර්චසයක් දැන් ඔබට රැ.640,000/= ලබා ගැනිමට අවස්ථවක්ඉඩමේ වටිනාකම 75% ගෙවීමෙන් පසු ඔබගේ නිවස ඉදිකරිම අප විසින් සිදු කරනු ලබේඔබගේ සිතැගි පරිදි නිවාස ඉදිකරගැනීමට කදීම අවස්ථාවක්මෙයට අමතරව තවත් සුවිශේෂි දීමනා රැසක් අපෙන්",Piliyandala,"Residential, Other",7.0 perches
34,Valuable Land for Sale - Piliyandala,20 Jul 11:14 am,"Piliyandala, Colombo","650,000","Monthly installment Rs 1550 on Rs 100,000 for 10 years ( bank lone) zero down payment scheme can be arrangedPrime land just 1.8 km to PiliyandalaLand for sale close proximity to Piliyandala town, peaceful residential area, calm & quiet neighborhood. Clear DeedHighly developing residential area.5 mint to Piliyandala5 mint to katubadda/ MoratuwaEasy access to Southern Express Way, Airport Express Way via Kahathuduwa& Galanigama Interchange.",Piliyandala,"Agricultural, Residential",7.5 perches
35,Land sale at Piliyandala,17 Jul  1:12 am,"Piliyandala, Colombo","800,000",Urgent Land sale at Piliyandala Gagabada Rd.2 min to Pilliyandala Town & 5 Min to Galle Rd. 15 min to southern highway.urban area with all infrastructure facilities,"Commercial, Residential",6.5 perches,
36,Piliyandala Makuluduwen Idamak,16 Jul 11:09 pm,"Piliyandala, Colombo","575,000","මහරගම පිළියන්දල 341 බස් මාර්ගයට නුදුරින් මකුළුදුවේ පර්චස් 11.5පිරිසිදු ඔප්පුඇති ඉඩම විකිනීමට ඇත.බෝකුන්දර හන්දියට 1.5km,පිළියන්දලට 2km. මේධානන්ද මාවතින් ,සමගි මාවතින් සහ විශ්වකලා හන්දියේන් ඉඩමට පැමිණිය හැක.T.P .","makuluduwa , medhanandha mawatha",Residential,11.5 perches
37,Land for sale - Piliyandala,16 Jul 12:10 pm,"Piliyandala, Colombo","545,000","facing 157 Piliyandala - Kahapola bus route.Together with Pipe born water, Bank loans, Electricity, Wide Roads and Easy Payment Methods.",Residential,6.0 perches,
38,Land for Sale in Piliyandala,16 Jul 12:44 pm,"Piliyandala, Colombo","910,000",Square land for sale located in Pliyanadala – Very close to Pliyandala town Nice environment and perfect location to build your dream house,Piliyandala,Residential,7.0 perches
39,Valuable Land for Sale in - Piliyandala,16 Jul 10:48 am,"Piliyandala, Colombo","5,200,000","A Land for Sale with A Partly Constructed House in A Highly Residential Area in Batakeththara, Piliyandala. for Immediate Sale. 2.5 Km to Piliyandala Town. ","7th Lane, New City 02, Batakeththara, Piliyandala",Residential,10.8 perches
40,Good Land in Piliyandala Town,15 Jul  1:48 pm,"Piliyandala, Colombo","915,000","NEAR SCHOOL , BANK, SUPERMARKET GOOD RESIDENTIAL AREA",LAND IN PILIYANDALA,"Residential, Other",10.4 perches
41,10 Perch Land for Sale in CT Gardens - Piliyandala,15 Jul 12:07 pm,"Piliyandala, Colombo","1,075,000","Highly residential prestigious gated community24 hour securityPool, Gym, SupermarketSeparate water tankCentralized sewage systemVery close to Piliyandala town, Government and private schoolsWalking distance to 120 bus routeClear Deed",Residential,10.0 perches,
42,Luxury Living Space - Piliyandala,15 Jul 10:35 am,"Piliyandala, Colombo","4,224,000","පිළියන්දලින් හොදම ඉඩම් අඩුම මිලට ජනප්‍රිය පාසල්, විශ්ව විද්‍යාලරෝහල්සාප්පු සංකීර්ණ120 බස් පාරට විනාඩි 05ක දුරින්සුපිරි නේවාසික බිම් කොටස් පහසු ගෙවිමේ ක්‍රමපිළියන්දල නගර සීමාවට ආසන්නව පදිංචියටත් ආයෝජනයටත් සුදුසු බිම් කොටස්එකවර ගෙවිමේදී මුලින් වෙන්කරවා ගන්නා 03 සදහා පර්චසයකට රැ 100,000/= ලක්ෂයට වැඩි දීමනාවක්රැ. 740,000/= පර්චසයක් දැන් ඔබට රැ.640,000/= ලබා ගැනිමට අවස්ථවක්ඉඩමේ වටිනාකම 75% ගෙවීමෙන් පසු ඔබගේ නිවස ඉදිකරිම අප විසින් සිදු කරනු ලබේඔබගේ සිතැගි පරිදි නිවාස ඉදිකරගැනීමට කදීම අවස්ථාවක්මෙයට අමතරව තවත් සුවිශේෂි දීමනා රැසක් අපෙන්","Gonamadiththa Road, Piliyandala","Commercial, Residential, Other",6.6 perches
43,Land for Sale in Piliyandala,20 Jul 11:13 am,"Piliyandala, Colombo","650,000","පිළියන්දලින් හොදම ඉඩම් අඩුම මිලට ජනප්‍රිය පාසල්, විශ්ව විද්‍යාලරෝහල්සාප්පු සංකීර්ණ120 බස් පාරට විනාඩි 05ක දුරින්සුපිරි නේවාසික බිම් කොටස් පහසු ගෙවිමේ ක්‍රමපිළියන්දල නගර සීමාවට ආසන්නව පදිංචියටත් ආයෝජනයටත් සුදුසු බිම් කොටස්එකවර ගෙවිමේදී මුලින් වෙන්කරවා ගන්නා 03 සදහා පර්චසයකට රැ 100,000/= ලක්ෂයට වැඩි දීමනාවක්රැ. 750,000/= පර්චසයක් දැන් ඔබට රැ.650,000/= ලබා ගැනිමට අවස්ථවක්මෙයට අමතරව තවත් සුවිශේෂි දීමනා රැසක් අපෙන්","Gonamadiththa Road, Piliyandala","Commercial, Residential, Other",6.3 perches
44,Land for Sale in Bokundara,15 Jul 10:26 am,"Piliyandala, Colombo","895,000","New land project facing maharagama bokundara main bus road 342/1Good peacefull residential areaFully developed land with all urban facilitiesYou can reserved land plot as you wishCommercial and residential land plots available1.5km from maharagama town (high level road) just 200m erewwala junction and 1.5km bokundara eco center (120,162,139 road)",Bolundara. Piliyandala,Residential,9.6 perches
45,Land for Sale at Piliyandala,14 Jul  3:31 pm,"Piliyandala, Colombo","690,000",Land For Sale at PiliyandalaPILIYANDALA MAHARAGAMA ROAD2KM TO PILIYANDALA💠 Good Land 💠 Calm Place 💠 Flat Land 💠 Water & Power 💠 Fence Surrounded The Land  💠 Very Use Full For Resident or Business        For Quickly Sell,L-PILIYANDALA-01,"Commercial, Residential",15.0 perches
46,Land for Sale - Piliyandala,15 Jul  7:51 am,"Piliyandala, Colombo","4,300,000","Monthly installment Rs 1550 on Rs 100,000 for 10 years ( bank lone)",Residential,6.3 perches,
47,Land for Sale in Gonapala,14 Jul  5:05 pm,"Piliyandala, Colombo","130,000","පිළියන්දල-හොරණ නගර දෙක අතර ගෝනපල හංදියට මීටර් 800ක් දුරින් අක්කර 3ක තැනිතලා ඉඩම අත්පිට මුදලට විකිනීමට. *ප්‍රාදේශීය සභාව සතු අඩි 20ක් පළල පිවිසුම් මාර්ගය. *ඉඩම ආරම්භ වන ස්ථානයටම, නල ජලය හා තෙකලා විදුලිය. *බැංකු ණය ලබාගත හැකි මට්ටමේ පිරිසිදු ඔප්පු හා අනුමත ප්ලෑන්. *නේවාසික සංවර්ධනයට වඩාත්ම උචිත වන ලෙසින් ඉඩම වෙල් යායකින් වට වී ඇත *ගංවතුර හා නාය යෑම් අවදානමක් නැත. *මධ්‍ය මහා විද්‍යාලයට 300m යි. *මොරගහහේන මාර්ගයට 700m යි. *හොරණ-කොළඹ, පිළියන්දල-මොරගහහේන, රත්නපුර-කොළඹ, ඉංගිරිය-කොළඹ. මගී ප්‍රවාහන බස් රථ පහසුකම. *අක්කර 03ක ඉඩම පර්චස් 20,30,40 ආදී වශයෙන් හෝ ලබා ගැනීමට හැකියාව. *එකවර විකිණීමේදී පර්චසයක් 1 30,000යි. ",Residential,3.0 acres,
48,Land for Sale in Piliyandala,13 Jul  3:15 pm,"Piliyandala, Colombo","650,000","පිලියන්දල මඩපාත ප්‍රධාන මාර්ගයට මුනල, ඉඩම වටා තාප්පය  ඇත.විදුලිය නළ ජලය ඇත.පිලියන්දල නගරයට 5km යි.බණ්ඩාරගම පිලියන්දල (162) ප්‍රධන මාර්ගයට 3km යි.","Madapatha, Piliyandala",Residential,160.0 perches
49,Good Land in Miriswatta,13 Jul  1:37 pm,"Piliyandala, Colombo","660,000",500m TO MT LAVENIA KOTTAWA ROAD600m TO MAHARAGAMA PILIYANDALA ROADGOOD RESIDENTIAL AREA,land in maviththara,Residential,10.35 perches
50,Land for Sale in - Kahathuduwa,13 Jul  2:00 pm,"Piliyandala, Colombo","1,982,750",*කොළඹ දිස්ත්‍රික්කයෙන්ම පදිංචියට ඉඩමක් ගන්න.*කහතුඩුව පුළුල් වන පිළියන්දල හෝමාගම මාර්ගයට 200m.*කහතුඩුව හන්දියට සහ 120 හොරණ කොළඹ මාර්ගයට 2km*තෙකලා විදුලිය සහ නල ජලය.*තැනිතලා බිම*මූලික ගෙවීම රු.847500/=*ඉතිරිය ගෙවාගෙන යාමට(69x 31500/=) හෝ බැංකු ණය පහසුකම්.*මුළු ඉඩමම 1982750/=*විශේෂ සහනදායී මිළ ගනන් යටතේ නිවසද ඉදි කරවා දීමට හැකිය.*ඉඩම් හුවමාරුද සලකා බලනු ලැබේ.*අමතන්න.0768221627,"Vibart Senanayke mawatha,Homagama rd,Kahathuduwa",Residential,8.65 perches
51,Land For Sale In Piliyandala,13 Jul  9:08 am,"Piliyandala, Colombo","2,550,000",Salb aka dakwa kanu 15k nimavi atha.  Wadi wisthara sadaha call karanna.,"2/6,KAHAPOLA,MADAPATHA.",Other,8.0 perches
52,Land for Sale in Piliyandala,13 Jul  9:03 am,"Piliyandala, Colombo","10,000,000",Land For Sale @ Piliyandala 10 Perches Price 10 Million,Piliyandala Kattawapittiya,Residential,10.0 perches
53,Piliyandala Madapatha Land Lot No.24,12 Jul  3:02 pm,"Piliyandala, Colombo","495,000",* Three Face Electricity* Pipe-born Water* Tar Road* Concrete Road* Concrete Drain* Clear Title For Bank Loans* Local Authority Approvals* House Construction Undertaken* Easy Payment Scheme* Bank loan for 15 yrs,"Piliyanda, Madapatha Road",Residential,8.4 perches
54,Land Lot No.05 for Sale - Piliyandala Madapatha,12 Jul  2:56 pm,"Piliyandala, Colombo","540,000",* Three Face Electricity* Pipe-born Water* Tar Road* Concrete Road* Concrete Drain* Clear Title For Bank Loans* Local Authority Approvals* House Construction Undertaken* Easy Payment Scheme* Bank loan for 15 yrs,"Piliyanda, Madapatha Road",Residential,6.6 perches
55,Piliyandala Madapatha Land Lot No.32,12 Jul  2:56 pm,"Piliyandala, Colombo","505,000",* Three Face Electricity* Pipe-born Water* Tar Road* Concrete Road* Concrete Drain* Clear Title For Bank Loans* Local Authority Approvals* House Construction Undertaken* Easy Payment Scheme* Bank loan for 15 yrs,"Piliyanda, Madapatha Road",Residential,7.5 perches
56,Best lands at Piliyandala,12 Jul 12:56 pm,"Piliyandala, Colombo","4,600,000",~~~ ආයෝජනයටත් පදිංචියටත් ~~~,Piliyandala,Residential,6.0 perches
57,House for Sale in - Polgasowitta,29 Jun  1:34 pm,"Piliyandala, Colombo","7,000,000",කාමර:3නානකාමර:2වට තාප්ප / ගේට්ටුවනිරවුල් ඔප්පවනිස්ක‍ලංක පරිසරයපිලියන්දල නගරයට කි.මී.4යි,"No.342, Ranawiru Premasiri Mawatha, Siyabalagoda, Polgasowitta",Residential,14.0 perches
